id,value
16407,108122.5923533457
16408,104668.1787028832
16409,101455.43454404078
16410,106758.0648845664
16411,106671.383477147
16412,107769.34485109914
16413,113685.47618339962
16414,113023.00517423134
16415,108547.73189862531
16416,106597.45639820462
16417,108604.98321192221
16418,107026.60842166968
16419,112162.59225118603
16420,114073.78468235648
16421,114569.60948815328
16422,110675.04810821319
16423,109508.91383566317
16424,108309.1664018934
16425,106433.41067494957
16426,114092.5295100697
16427,114238.33424925915
16428,114136.375764607
16429,111131.08225009174
16430,107412.23346496787
16431,107586.7592702987
16432,104999.18670773898
16433,110605.52340699307
16434,111527.90802171778
16435,111497.78304399727
16436,107688.44986175522
16437,105915.4709926444
16438,104507.21224716879
16439,105477.46813013201
16440,107779.58429662306
16441,111959.79975263226
16442,111492.40185460457
16443,108172.10645180383
16444,106139.33615867095
16445,107271.2740903309
16446,105220.20776616833
16447,110613.50226019608
16448,111024.66838845969
16449,110528.8700184721
16450,108337.26586277442
16451,104900.52070841241
16452,103500.36591980349
16453,101832.3514250909
16454,110421.9500840234
16455,110039.6342098571
16456,104970.66386395675
16457,105315.76394527675
16458,103035.61121337324
16459,103978.61007048734
16460,101514.71043398054
16461,106517.31951123777
16462,106823.26293355554
16463,106517.59164956104
16464,102717.15834531558
16465,100700.87747099738
16466,103987.43523145627
16467,98050.45388149637
16468,96667.28476344654
16469,95333.25659543912
16470,102646.68898260666
16471,98048.84723216895
16472,95594.73529870246
16473,95967.03833832104
16474,95700.59590407445
16475,101212.81817931679
16476,100887.0099145287
16477,99434.7953742898
16478,95663.7742500502
16479,93905.70576489337
16480,94610.78584687995
16481,92823.53325045948
16482,97145.51099786513
16483,98136.38559169631
16484,97572.63203599286
16485,93485.16438381845
16486,92484.0593878974
16487,93292.27820232368
16488,90132.2418695073
16489,96203.83233840502
16490,96917.64341240496
16491,96260.02056634673
16492,91874.34143307102
16493,89582.27361188112
16494,87405.3900654683
16495,87404.31541580493
16496,90440.8386388623
16497,90347.08614617937
16498,89390.70605674792
16499,87048.46540612401
16500,85809.88944779654
16501,84631.27247389448
16502,84920.26596808215
16503,89365.5496870413
16504,89698.82403958107
16505,88838.55939624317
16506,84267.3241003574
16507,82327.51204944206
16508,80883.14586488473
16509,81624.96012070536
16510,86150.48722752962
16511,86941.94857249997
16512,86383.10568018438
16513,83069.51234283732
16514,80966.56301736565
16515,79112.17437357678
16516,80332.79647035392
16517,85976.4511759351
16518,86508.46108906614
16519,85911.35579831028
16520,81760.05062802791
16521,79176.67221755658
16522,79003.77269500766
